date,time,open,high,low,close,volume
2022.06.23,12:45,20483.79,20542.79,20456.79,20528.79,578
2022.06.23,12:50,20528.92,20687.85,20528.92,20647.35,964
2022.06.23,12:55,20648.35,20761.83,20600.35,20709.72,1031
2022.06.23,13:00,20715.22,20737.92,20656.92,20732.92,905
2022.06.23,13:05,20733.42,20750.26,20645.97,20707.6,992
2022.06.23,13:10,20707.6,20765.71,20699.1,20765.71,832
2022.06.23,13:15,20764.96,20782.94,20664.96,20682.46,871
2022.06.23,13:20,20681.46,20715.71,20674.71,20679.71,568
2022.06.23,13:25,20680.53,20739.96,20675.21,20702.96,639
2022.06.23,13:30,20703.71,20729.96,20634.24,20650.46,1029
2022.06.23,13:35,20650.73,20709.73,20646.63,20699.73,617
2022.06.23,13:40,20700.71,20731.71,20683.84,20709.96,577
2022.06.23,13:45,20710.46,20749.21,20668.73,20697.21,853
2022.06.23,13:50,20697.71,20697.71,20634.96,20649.46,690
2022.06.23,13:55,20649.09,20678.71,20637.59,20661.58,513
2022.06.23,14:00,20659.83,20676.59,20631.61,20662.96,589
2022.06.23,14:05,20661.96,20663.31,20637.37,20658.81,411
2022.06.23,14:10,20658.81,20684.46,20647.81,20657.46,416
2022.06.23,14:15,20655.96,20682.71,20609.46,20626.97,550
2022.06.23,14:20,20626.97,20659.7,20623.97,20641.46,445
2022.06.23,14:25,20642.71,20673.46,20634.47,20660.98,403
2022.06.23,14:30,20659.48,20668.21,20607.96,20632.71,538
2022.06.23,14:35,20638.16,20646.71,20620.58,20625.46,332
2022.06.23,14:40,20625.96,20627.41,20559.12,20591.15,597
2022.06.23,14:45,20591.15,20622.2,20583.71,20608.21,557
2022.06.23,14:50,20609.34,20636.21,20598.97,20613,510
2022.06.23,14:55,20613,20618.46,20592.21,20605.96,546
2022.06.23,15:00,20605.21,20654.46,20588.96,20637.21,783
2022.06.23,15:05,20636.46,20686.46,20541.96,20544.31,659
2022.06.23,15:10,20544.31,20673.8,20541.3,20629.8,993
2022.06.23,15:15,20632.3,20718.71,20614.96,20626.46,1052
2022.06.23,15:20,20616.96,20709.96,20599.46,20691.96,884
2022.06.23,15:25,20691.46,20740.46,20675.96,20728.84,853
2022.06.23,15:30,20727.84,20790.96,20665.91,20704.91,1033
2022.06.23,15:35,20705.91,20726.41,20561.02,20563.02,1031
2022.06.23,15:40,20564.02,20607.21,20520.71,20550.71,1013
2022.06.23,15:45,20550.71,20592.28,20541.71,20567.28,865
2022.06.23,15:50,20567.28,20575.96,20466.86,20476.36,829
2022.06.23,15:55,20476.36,20543.96,20473.36,20540.71,575
2022.06.23,16:00,20538.98,20575.21,20509.08,20522.68,549
2022.06.23,16:05,20522.68,20607.87,20512.18,20598.96,734
2022.06.23,16:10,20603.41,20603.41,20540.06,20569.96,459
2022.06.23,16:15,20571.96,20609.71,20536.27,20560.21,523
2022.06.23,16:20,20561.21,20607.51,20542.79,20572.01,419
2022.06.23,16:25,20573.01,20593.96,20542.51,20548.01,522
2022.06.23,16:30,20548.01,20623.46,20500.03,20564.03,1368
2022.06.23,16:35,20564.03,20564.03,20445.05,20465.55,1020
2022.06.23,16:40,20465.55,20540.55,20446,20462.98,1014
2022.06.23,16:45,20462.98,20511.96,20400.5,20478.55,1421
2022.06.23,16:50,20476.06,20499.3,20340.82,20370.82,1289
2022.06.23,16:55,20368.32,20436.14,20352.82,20424.14,1251
2022.06.23,17:00,20424.64,20438.21,20389.14,20428.76,1208
2022.06.23,17:05,20433.76,20467.76,20360.63,20369.13,1244
2022.06.23,17:10,20371.96,20407.14,20352.13,20399.46,1001
2022.06.23,17:15,20390.14,20421.14,20374.14,20395.71,746
2022.06.23,17:20,20395.21,20463.15,20382.64,20423.52,1059
2022.06.23,17:25,20429.46,20455.23,20406.93,20433.9,838
2022.06.23,17:30,20433.9,20465.21,20412.4,20437.21,1233
2022.06.23,17:35,20436.96,20449.21,20415.46,20429.73,858
2022.06.23,17:40,20429.73,20521.96,20429.73,20511.65,1101
2022.06.23,17:45,20510.46,20559.26,20505.06,20523.26,1039
2022.06.23,17:50,20521.26,20538.96,20481.66,20533.9,912
2022.06.23,17:55,20533.71,20591.46,20525.74,20580.72,819
2022.06.23,18:00,20580.72,20586.22,20535.96,20536.22,907
2022.06.23,18:05,20534.96,20548.22,20518.91,20543.71,884
2022.06.23,18:10,20544.96,20583.04,20516.99,20554.54,913
2022.06.23,18:15,20555.54,20561.54,20469.16,20483.12,1003
2022.06.23,18:20,20480.62,20512.71,20406.01,20434.01,909
2022.06.23,18:25,20436.51,20454.21,20385.86,20399.5,883
2022.06.23,18:30,20399.5,20421.5,20259.53,20320.75,966
2022.06.23,18:35,20320.75,20329.01,20258.57,20286.27,1000
2022.06.23,18:40,20288.21,20332.57,20275.77,20320.46,833
2022.06.23,18:45,20319.07,20322.96,20265.52,20296.49,495
2022.06.23,18:50,20296.96,20367.01,20288.62,20336.76,751
2022.06.23,18:55,20335.26,20366.71,20310.76,20319.21,643
2022.06.23,19:00,20321.26,20333.76,20242.05,20259.46,816
2022.06.23,19:05,20260.21,20298.42,20238.71,20266.21,995
2022.06.23,19:10,20265.46,20281.96,20237.93,20266.74,717
2022.06.23,19:15,20265.71,20312.96,20249.24,20294.02,891
2022.06.23,19:20,20294.02,20301.96,20163.91,20248.91,722
2022.06.23,19:25,20248.91,20313.85,20222.91,20276.46,778
2022.06.23,19:30,20275.96,20303.71,20260.34,20283.84,685
2022.06.23,19:35,20285.91,20300.51,20243.76,20259.34,695
2022.06.23,19:40,20257.71,20287.7,20234.74,20281.55,789
